=============================================================
 starting episode: 700/2000
Waiting for server on 3112............
Count Down : 5
Client connected on 3112..............
Ep:700 step:1540(111232), a_t=[s=-0.92, t= 0.016552, b= 0.000000], r_t=[r= 0.00, prog= 0.02, pen=-0.01, r_old= 0.00], Reward=  1081.00 /  1081.00 /  275777.58, epsilon=  0.657, speed=  0.01, gear= 1, damage= 0.00
Ep:700 step:1560(111252), a_t=[s=-0.98, t= 0.029935, b= 0.000000], r_t=[r=-0.01, prog=-0.02, pen= 0.01, r_old=-0.01], Reward=  1080.66 /  1080.66 /  275777.58, epsilon=  0.657, speed= -0.01, gear= 1, damage= 0.00
Ep:700 step:1580(111272), a_t=[s=-0.99, t= 0.035646, b= 0.000000], r_t=[r= 0.04, prog= 0.15, pen=-0.12, r_old= 0.04], Reward=  1080.00 /  1080.00 /  275777.58, epsilon=  0.657, speed=  0.06, gear= 1, damage= 0.00
Ep:700 step:1600(111292), a_t=[s=-0.99, t= 0.043474, b= 0.000000], r_t=[r= 0.02, prog= 0.06, pen=-0.05, r_old= 0.02], Reward=  1079.51 /  1079.51 /  275777.58, epsilon=  0.657, speed=  0.02, gear= 1, damage= 0.00
Ep:700 step:1620(111312), a_t=[s=-0.71, t= 0.007572, b= 0.000000], r_t=[r=-0.08, prog=-0.13, pen= 0.05, r_old=-0.08], Reward=  1078.60 /  1078.60 /  275777.58, epsilon=  0.657, speed= -0.05, gear= 1, damage= 0.00
Ep:700 step:1640(111332), a_t=[s=-0.98, t= 0.034260, b= 0.000000], r_t=[r=-0.10, prog=-0.17, pen= 0.07, r_old=-0.10], Reward=  1077.74 /  1077.74 /  275777.58, epsilon=  0.657, speed= -0.06, gear= 1, damage= 0.00
Ep:700 step:1660(111352), a_t=[s=-0.89, t= 0.015144, b= 0.000000], r_t=[r=-0.04, prog=-0.06, pen= 0.03, r_old=-0.04], Reward=  1076.91 /  1076.91 /  275777.58, epsilon=  0.657, speed= -0.02, gear= 1, damage= 0.00
Ep:700 step:1680(111372), a_t=[s=-0.99, t= 0.054186, b= 0.000000], r_t=[r= 0.01, prog= 0.05, pen=-0.04, r_old= 0.01], Reward=  1076.75 /  1076.75 /  275777.58, epsilon=  0.657, speed=  0.02, gear= 1, damage= 0.00
Ep:700 step:1700(111392), a_t=[s=-0.93, t= 0.017419, b= 0.000000], r_t=[r=-0.09, prog=-0.15, pen= 0.06, r_old=-0.09], Reward=  1077.20 /  1077.20 /  275777.58, epsilon=  0.657, speed= -0.06, gear= 1, damage= 0.00
Ep:700 step:1720(111412), a_t=[s=-0.99, t= 0.042870, b= 0.000000], r_t=[r= 0.01, prog= 0.04, pen=-0.03, r_old= 0.01], Reward=  1077.47 /  1077.47 /  275777.58, epsilon=  0.657, speed=  0.01, gear= 1, damage= 0.00
Ep:700 step:1740(111432), a_t=[s=-1.00, t= 0.055897, b= 0.000000], r_t=[r= 0.04, prog= 0.16, pen=-0.12, r_old= 0.04], Reward=  1077.17 /  1077.17 /  275777.58, epsilon=  0.657, speed=  0.06, gear= 1, damage= 0.00
Ep:700 step:1760(111452), a_t=[s=-0.98, t= 0.027422, b= 0.000000], r_t=[r= 0.02, prog= 0.09, pen=-0.07, r_old= 0.02], Reward=  1076.95 /  1076.95 /  275777.58, epsilon=  0.657, speed=  0.03, gear= 1, damage= 0.00
Ep:700 step:1780(111472), a_t=[s=-0.98, t= 0.032972, b= 0.000000], r_t=[r=-0.01, prog=-0.01, pen= 0.01, r_old=-0.01], Reward=  1076.17 /  1076.17 /  275777.58, epsilon=  0.657, speed= -0.01, gear= 1, damage= 0.00
Ep:700 step:1800(111492), a_t=[s=-0.99, t= 0.039951, b= 0.000000], r_t=[r=-0.04, prog=-0.07, pen= 0.03, r_old=-0.04], Reward=  1075.86 /  1075.86 /  275777.58, epsilon=  0.657, speed= -0.03, gear= 1, damage= 0.00
Ep:700 step:1820(111512), a_t=[s=-0.97, t= 0.023409, b= 0.000000], r_t=[r=-0.21, prog=-0.35, pen= 0.14, r_old=-0.21], Reward=  1074.37 /  1074.37 /  275777.58, epsilon=  0.657, speed= -0.13, gear= 1, damage= 0.00
Ep:700 step:1840(111532), a_t=[s=-0.87, t= 0.011078, b= 0.000000], r_t=[r=-0.06, prog=-0.10, pen= 0.04, r_old=-0.06], Reward=  1073.01 /  1073.01 /  275777.58, epsilon=  0.657, speed= -0.04, gear= 1, damage= 0.00
Ep:700 step:1860(111552), a_t=[s=-0.92, t= 0.016532, b= 0.000000], r_t=[r= 0.01, prog= 0.04, pen=-0.03, r_old= 0.01], Reward=  1072.40 /  1072.40 /  275777.58, epsilon=  0.657, speed=  0.01, gear= 1, damage= 0.00
Ep:700 step:1880(111572), a_t=[s=-1.00, t= 0.125866, b= 0.000000], r_t=[r= 0.05, prog= 0.23, pen=-0.17, r_old= 0.05], Reward=  1071.77 /  1071.77 /  275777.58, epsilon=  0.657, speed=  0.09, gear= 1, damage= 0.00
Ep:700 step:1900(111592), a_t=[s=-0.89, t= 0.014618, b= 0.000000], r_t=[r= 0.03, prog= 0.12, pen=-0.09, r_old= 0.03], Reward=  1071.52 /  1071.52 /  275777.58, epsilon=  0.657, speed=  0.04, gear= 1, damage= 0.00
Ep:700 step:1920(111612), a_t=[s=-0.90, t= 0.012688, b= 0.000000], r_t=[r= 0.01, prog= 0.04, pen=-0.03, r_old= 0.01], Reward=  1072.25 /  1072.25 /  275777.58, epsilon=  0.657, speed=  0.02, gear= 1, damage= 0.00
Ep:700 step:1940(111632), a_t=[s=-0.69, t= 0.007444, b= 0.000000], r_t=[r=-0.14, prog=-0.23, pen= 0.09, r_old=-0.14], Reward=  1071.82 /  1071.82 /  275777.58, epsilon=  0.657, speed= -0.09, gear= 1, damage= 0.00
