=============================================================
 starting episode: 200/2000
Waiting for server on 3104............
Count Down : 5
Client connected on 3104..............
Ep:202 step:600(80465), a_t=[s=-0.26, t= 0.731569, b= 0.000000], r_t=[r= 208.52, prog= 245.30, pen=-36.78, r_old= 208.52], Reward=  32633.18 /  32633.18 /  120736.18, epsilon=  0.795, speed=  83.66, gear= 1, damage= 177.00
Ep:202 step:620(80485), a_t=[s=-0.57, t= 0.532075, b= 0.000000], r_t=[r= 160.64, prog= 243.84, pen=-83.21, r_old= 160.64], Reward=  36429.58 /  36429.58 /  120736.18, epsilon=  0.795, speed=  81.91, gear= 1, damage= 177.00
Ep:202 step:640(80505), a_t=[s=-0.26, t= 0.533134, b= 0.000000], r_t=[r= 110.65, prog= 235.79, pen=-125.14, r_old= 110.65], Reward=  38488.50 /  38488.50 /  120736.18, epsilon=  0.795, speed=  82.91, gear= 1, damage= 200.00
Ep:202 step:660(80525), a_t=[s= 0.15, t= 0.656731, b= 0.000000], r_t=[r= 95.19, prog= 234.45, pen=-139.27, r_old= 95.19], Reward=  41161.66 /  41161.66 /  120736.18, epsilon=  0.795, speed=  78.91, gear= 1, damage= 223.00
Ep:202 step:680(80545), a_t=[s=-0.02, t= 0.630495, b= 0.000000], r_t=[r= 210.99, prog= 251.17, pen=-40.18, r_old= 210.99], Reward=  43951.82 /  43951.82 /  120736.18, epsilon=  0.795, speed=  83.72, gear= 1, damage= 223.00
Ep:202 step:700(80565), a_t=[s=-0.70, t= 0.627372, b= 0.000000], r_t=[r= 164.69, prog= 238.88, pen=-74.19, r_old= 164.69], Reward=  48087.44 /  48087.44 /  120736.18, epsilon=  0.795, speed=  82.55, gear= 1, damage= 223.00
Ep:202 step:720(80585), a_t=[s= 0.65, t= 0.559552, b= 0.000000], r_t=[r= 107.45, prog= 230.14, pen=-122.68, r_old= 107.45], Reward=  48801.75 /  48801.75 /  120736.18, epsilon=  0.795, speed=  82.34, gear= 1, damage= 357.00
Ep:202 step:740(80605), a_t=[s=-1.00, t= 0.738124, b= 0.011737], r_t=[r= 134.03, prog= 238.30, pen=-104.27, r_old= 134.03], Reward=  50985.34 /  50985.34 /  120736.18, epsilon=  0.795, speed=  79.54, gear= 1, damage= 384.00
Ep:202 step:760(80625), a_t=[s=-0.41, t= 0.638084, b= 0.000000], r_t=[r= 39.85, prog= 222.28, pen=-182.44, r_old= 39.85], Reward=  50221.25 /  50221.25 /  120736.18, epsilon=  0.795, speed=  80.44, gear= 1, damage= 891.00
Ep:202 step:780(80645), a_t=[s= 0.98, t= 0.654278, b= 0.000000], r_t=[r= 200.54, prog= 242.07, pen=-41.53, r_old= 200.54], Reward=  53834.95 /  53834.95 /  120736.18, epsilon=  0.794, speed=  81.67, gear= 1, damage= 891.00
